X	Y
411	122.304000854
412	122.912002563
413	124.503997803
414	123.176002502
415	120.928001404
416	120.223999023
417	120.087997437
418	120.608001709
419	120.879997253
420	119.223999023
421	120.695999146
422	119.400001526
423	119.872001648
424	116.839996338
425	115.255996704
426	115.447998047
427	114.263999939
428	112.375999451
429	109.031997681
430	106.360000610
431	106.111999512
432	105.431999207
433	102.872001648
434	100.160003662
435	100.519996643
436	97.424003601
437	95.335998535
438	93.599998474
439	91.744003296
440	91.487998962
441	90.823997498
442	92.328002930
443	92.903999329
444	94.896003723
445	94.800003052
446	92.872001648
447	90.896003723
448	89.655998230
449	89.367996216
450	89.727996826
451	88.367996216
452	85.856002808
453	85.087997437
454	82.087997437
455	80.080001831
456	79.615997314
457	78.351997375
458	75.400001526
459	72.047996521
460	69.080001831
461	68.823997498
462	69.000000000
463	68.360000610
464	68.040000916
465	68.127998352
466	69.040000916
467	67.952003479
468	67.472000122
469	67.968002319
470	67.447998047
471	68.071998596
472	66.664001465
473	65.919998169
474	63.167999268
475	61.319999695
476	60.071998596
477	59.423999786
478	58.504001617
479	57.631999969
480	57.104000092
481	56.152000427
482	53.720001221
483	53.032001495
484	53.231998444
485	54.048000336
486	53.408000946
487	51.048000336
488	51.248001099
489	52.472000122
490	51.903999329
491	50.807998657
492	48.304000854
493	47.352001190
494	45.967998505
495	45.743999481
496	45.583999634
497	43.776000977
498	43.071998596
499	42.647998810
500	42.664001465
501	42.608001709
502	42.591999054
503	43.200000763
504	42.959999084
505	42.144001007
506	41.504001617
507	41.456001282
508	41.223999023
509	41.319999695
510	39.543998718
511	39.192001343
512	37.312000275
513	37.240001678
514	35.375999451
515	34.776000977
516	34.080001831
517	34.639999390
518	34.616001129
519	33.959999084
520	33.560001373
521	33.599998474
522	34.256000519
523	34.312000275
524	33.175998688
525	32.872001648
526	31.576000214
527	30.152000427
528	30.007999420
529	29.927999496
530	29.368000031
531	28.912000656
532	28.767999649
533	28.336000443
534	28.120000839
535	28.408000946
536	28.375999451
